question,domain,context_type,hit_count
2019년 YTD 기준으로 브라질의 주식 시장 수익률과 베트남의 주식 시장 수익률 사이에 어떤 차이가 있었나,finance,image,0
"바이오주 주가 급락에 따른 셀트리온의 주가 변동률과, 현대차, 삼성전자, 신한지주의 상승률, 그리고 POSC",finance,image,0
"미국, 중국, 한국에 대한 성과 및 주식시장 선호도의 예상 순서는 어떻게 됩니까?",finance,image,0
2001~2002년과 2008~2009년 중 어떤 기간의 경제 상황이 더 안 좋았는지 그 이유와 함께 설명해,finance,image,0
1995년에 연방 기준 금리가 하락한 후 S&P 500 지수와 10년물 미국 국채 금리는 각각 어떤 변화를 ,finance,image,0
2019년 영업이익과 순이익 각각이 2017년 대비 감소한 비율은 얼마나 되는가?,finance,image,0
투자 매력도 상위 국가들의 공통점은 무엇인가?,finance,image,0
실질금리란 무엇이며 실질금리와 설비투자의 관계에 대해 설명해주세요.,finance,image,0
2005년에 일본에서 제정된 고령화 대책법은 어떤 것들이 있나요?,finance,table,0
"정부, 기업, 금융산업이 협력하여 녹색금융을 확대 및 활성화함으로써 얻을 수 있는 세 가지 이점에는 무엇이 ",finance,paragraph,2
"기후위기 그린뉴딜 기본법과 녹색금융 특별법에서 주요하게 다룬 내용은 무엇이며, 이를 실행하기 위해 어떠한 협",finance,image,0
녹색금융 실행계획의 세 가지 목표를 각각 달성하기 위해 어떠한 구체적인 계획이 마련되어 있는지 설명해보세요.,finance,image,0
Garry Weaven이 속한 조직의 이름은 무엇인가요?,finance,image,0
"5년, 10년, 15년 국채 금리를 비교했을 때, 가장 금리가 높게 측정된 국가와 그 금리를 특정 기간 별로",finance,image,0
"1년, 3년, 5년, 10년 동안의 산업형기금, 기업형기금, 공적기금의 수익률을 비교했을 때, 어떤 기간 동",finance,image,0
"호주의 성공적인 연금 시스템이 강조하는 네 가지 요인 중, 동기와 문화를 활용하여 회원들에게 어떤 방식으로 ",finance,image,0
"기존 퇴직금, DB연금, DC연금, 해외 전통 DB의 파산위험 절연에 대해 설명해주세요.",finance,image,0
"DB연금과 해외 전통 DB의 차이점은 무엇이며, 각각의 기업 부담총액 계산 방식을 설명해주세요.",finance,image,0
100인 이하 근로자를 고용하는 사업체의 전체 근로자와 대비하여 가입 대상 근로자 수의 비율은 어떻게 되나요,finance,image,0
"DB, DC, CDC 연금 제도의 위험 유형은 무엇이며, 각각의 위험부담 내용을 비교해주세요.",finance,image,0
앙골라의 다이아몬드 생산량이 가장 높았던 년도와 그 년도의 생산량은 무엇인가요?,public,table,0
"2019년에 비해 2022년의 무역 수지는 어떻게 변화했으며, 그 원인은 무엇일까요?",public,table,0
산업고등기술센터 건립사업의 총 예산이 농업 현대화 사업(보충)이나 어류가공시설 및 냉동창고 건립사업 각각에 ,public,table,0
세 가지 주제에 대해 중점과제들을 구체적으로 설명하시오.,public,image,0
"Téte António는 주어떤 상주대표를 역임하면서 어떤 대학에서 연수를 받았으며, 그의 외교부 장관으로서",public,image,0
2023년 벤처투자 회복을 위해 변화된 '복수의결권' 시행과 전면 네거티브 규제특례 적용에 대해 자세히 설명,public,paragraph,1
앙골라와 유럽연합(EU)이 고위급 파트너십을 체결한 후 2023년 12월까지 제6차 장관급 회의를 가질 계획,public,paragraph,0
"앙골라가 2023년에 다른 유럽 국가들과 회담을 진행하였는데, 이 중에서 특히 어느 국가의 총리와 정상급 교",public,paragraph,0
"앙골라의 2022년 기준 원유 확인 매장량과 일산량, 주요 원유 수출 대상국을 각각 명시하고, 2023년 예",public,paragraph,0
앙골라의 소득 불균형 지표는 어떠한가? 그리고 UNDP 인간개발지수(HDI) 조사 결과 앙골라는 어떠한 변화,public,paragraph,0
"청년농 우대보증 한도를 5억으로 정하고 후계농 정책자금으로 3억을 사용한 후, 다른 정책자금으로 남은 2억을",public,paragraph,0
"금융기관에서 담보 설정시 대출가능 금액이 토지와 시설물에서 각각 시세의 80%, 60% 수준인 이유와 이에 ",public,paragraph,0
"선천성 비루관 폐쇄증이 의심될 때, 증상 호전을 위한 처치 방법과 증상이 지속될 경우 어떤 치료 방법을 고려",medical,text,0
EMR 방식과 ESD 방식의 차이점은 무엇인가요?,medical,text,1
"일반적으로 방사선요법이 위암의 재발을 줄이는데 효과적이지 않다면, 이를 사용하는 특정한 경우는 무엇이 있나요",medical,text,0
"원고가 주장하는 망인의 사망과 공무상 재해와의 관련성을 설명하고, 이에 따른 피고의 처분이 위법하다는 그 근",law,paragraph,0
당직근무 시 유의사항은 무엇인가요?,law,image,0
망인이 석식이 끝난 후에 하는 스케이트보드 타기는 공무수행 또는 그에 따르는 행위에 해당하는지 설명해주세요.,law,paragraph,0
이 사건 C의 사용자가 피고 B를 상대로 제기한 손해배상 청구 사건에서는 어떠한 결과가 나왔나요?,law,paragraph,0
피고 A에게 신의성실의 원칙상 고지의무 혹은 설명의무를 인정해야 하는 이유는 무엇인가?,law,paragraph,1
"제한결정내역에 대한 정보 중, 퇴직수당과 퇴직연금의 총액은 얼마인가요?",law,image,0
도 2와 도 3에 공통적으로 표시되어 있는 파트의 번호를 모두 나열하시오.,law,image,2
"이지그릴 매직쿡과 원터치, 라이프 제품 중 어느 제품이 유일하게 검은색 베이스를 가지고 있는지 알려주세요.",law,image,0
"베블런 효과가 작용하여 럭셔리 시장에서 수요가 증가하는 심리적 요인은 무엇이며, 그 요인들이 장기화된 코로나",commerce,paragraph,0
"국내 럭셔리 시장 규모가 2020년 대비 2021년에 어느 정도로 성장했으며, 이러한 변화는 어떤 요인들에 ",commerce,paragraph,0
"신명품 브랜드의 경제적 접근성과 브랜드 역사를 설명하고, 1980년대 이후 설립된 해당 브랜드의 예시 두 가",commerce,image,0
럭셔리 브랜드 기업들이 외식업계로 확장하는 이유와 그들이 제공하는 가치는 무엇인가요?,commerce,paragraph,0
2021년에 글로벌 사모펀드와 벤처 캐피털이 럭셔리 관련 기업에 투자한 액수와 이전년도 대비 증가율은 어떻게,commerce,paragraph,0
국내 리세일 시장에서 개인 간 거래인 C2C 형태 거래의 어려움과 이를 해결하기 위한 해결책으로 제공된 플랫,commerce,paragraph,0
퀵커머스와 이커머스의 주요 경쟁력을 비교 설명해보세요,commerce,image,2
