question,domain,context_type,n_embed,unique_top1,hit_count
"시중은행, 지방은행, 인터넷은행의 인가 요건 및 절차에 차이가 있는데 그 차이점은 무엇인가요?",finance,paragraph,21,5,5
"은행업을 신청하고자 할 때, 은행법상 소유규제에 부합하는 대주주 요건을 충족하려면 어떤 서류를 제출해야하는지",finance,table,21,8,6
본인가를 받으려는 지방은행이 시중은행 전환시 예비인가를 받을 필요가 있는지 설명하시오. 그리고 예비인가를 받,finance,paragraph,21,6,5
"은행법에 의거 예비인가를 신청할 수 있는지와, 그 경우 금융위원회가 검토했어야 하는 요건은 무엇인가요?",finance,paragraph,21,10,1
2019년 YTD 기준으로 브라질의 주식 시장 수익률과 베트남의 주식 시장 수익률 사이에 어떤 차이가 있었나,finance,image,21,11,0
"바이오주 주가 급락에 따른 셀트리온의 주가 변동률과, 현대차, 삼성전자, 신한지주의 상승률, 그리고 POSC",finance,image,21,17,0
"미국, 중국, 한국에 대한 성과 및 주식시장 선호도의 예상 순서는 어떻게 됩니까?",finance,image,21,11,0
2001~2002년과 2008~2009년 중 어떤 기간의 경제 상황이 더 안 좋았는지 그 이유와 함께 설명해,finance,image,21,16,0
1995년에 연방 기준 금리가 하락한 후 S&P 500 지수와 10년물 미국 국채 금리는 각각 어떤 변화를 ,finance,image,21,12,0
2019년 영업이익과 순이익 각각이 2017년 대비 감소한 비율은 얼마나 되는가?,finance,image,21,12,0
투자 매력도 상위 국가들의 공통점은 무엇인가?,finance,image,21,12,0
실질금리란 무엇이며 실질금리와 설비투자의 관계에 대해 설명해주세요.,finance,image,21,14,0
2012년 2월부터 신탁은행이 취급하기 시작한 새로운 상품의 명칭과 이 상품의 출시 배경에 대해 설명하세요.,finance,paragraph,21,8,0
"2002년과 2012년에 걸쳐 변액연금 잔고와 월지급식 펀드 순자산이 어떠한 추세를 보였으며, 이를 통해 어",finance,paragraph,21,9,13
"가입기간에 따라 연금 수급액이 어떻게 차등 지급되며, 이를 보완하기 위해 검토 중인 방안에는 어떤 것들이 있",finance,paragraph,21,6,13
"2012년 대비 2025년에 지급비 합계는 얼마나 증가할 것으로 예상되며, 그중에서 의료비가 차지하는 비율은",finance,table,21,10,8
"고령자의 의료 확보에 관한 법률 시행령과 시행규칙, 이와 관련된 교부금 및 국고부담금 산정에 관한 정부령은 ",finance,table,21,7,0
2005년에 일본에서 제정된 고령화 대책법은 어떤 것들이 있나요?,finance,table,21,10,0
"간병 종사자 등의 인재확보를 위한 처우개선에 관한 법률은 언제 제정되었고, 그 법률번호는 무엇인가?",finance,table,21,7,14
1994년부터 2001년까지 고령사회 대책과 관련하여 가장 먼저 이루어진 이벤트와 그 연도와 마지막으로 이루,finance,table,21,6,16
"1996년, 2001년, 2012년의 대책대강에서 공통적으로 포함되어 있던 고령자의 취업에 관련된 주요 항목",finance,table,21,4,15
"정부, 기업, 금융산업이 협력하여 녹색금융을 확대 및 활성화함으로써 얻을 수 있는 세 가지 이점에는 무엇이 ",finance,paragraph,21,4,0
주요국들이 지구 평균기온 상승폭을 1.5oC 이내로 억제하기 위한 노력을 강화함에 따라 필요한 탄소배출량 감,finance,paragraph,21,5,13
"PRI, PSI, PRB에서 각각 공통적으로 강조하는 활동은 무엇이며, 이들 원칙에서 각각 독특하게 강조하는",finance,image,21,10,1
"TCFD의 '전략' 핵심요소는 어떤 기후변화 시나리오를 고려하면서 잠재적 재무 리스크를 파악하며, 그 리스크",finance,table,21,5,15
"기후위기 그린뉴딜 기본법과 녹색금융 특별법에서 주요하게 다룬 내용은 무엇이며, 이를 실행하기 위해 어떠한 협",finance,image,21,11,0
녹색금융 실행계획의 세 가지 목표를 각각 달성하기 위해 어떠한 구체적인 계획이 마련되어 있는지 설명해보세요.,finance,image,21,10,0
2030년까지 친환경 산업 확대를 통해 창출될 수 있는 일자리와 예상되는 매출은 어느 정도인가요?,finance,paragraph,21,5,16
"금융 회사가 이행리스크 분석을 위해 PCAF의 기준을 활용하여 탄소 배출량을 정량화하고, 이후 과학기반 탄소",finance,paragraph,21,5,13
"PCAF는 2020년 11월에 어떤 지침서를 제공했고, 그 지침서에 기반한 금융자산을 분류하는 방법은 무엇인",finance,paragraph,21,4,18
"2023년 4/4분기 중에 한국은행이 유동성조절을 위해 취한 대응책들에는 어떤 것들이 있으며, 그 결과로 이",finance,paragraph,21,5,17
2024년도 한국은행의 대정부 일시대출금 한도와 대출조건을 결정하는 과정에서 보완된 대출 부대조건에 대해 설,finance,paragraph,21,5,17
"공개시장운영 대상기관으로 선정된 자산운용사가 본격적으로 작동하게 된다면, 초단기금리의 안정에 어떻게 기여할 ",finance,paragraph,21,4,17
RP매매 시 대상증권의 배정 방식 개선과 이를 통한 운영리스크 축소 및 대상증권 활용도 제고 방안에 대해 설,finance,paragraph,21,5,17
2024년 한국의 GDP 성장률 전망과 주요 영향 요인들에 대해 설명해 주세요.,finance,paragraph,21,8,4
지난 2024년 2월에 기록된 소비자물가지수의 품목별 인플레이션 분포에서 1분위와 3분위의 수치는 각각 어떻,finance,paragraph,21,7,14
